Username,Tanggal,Komentar,Aspek,Sentimen
@ddeeeaaa12,2025-09-26T14:02:36Z,"lohh baru tau punya yt, sring liat d tt pas masih sepi, trnyta dsni lebih ramee😂",Umum,Netral
@theRedy41,2025-09-26T13:59:13Z,orange mirip mobil datsun go warna orange,Desain,Netral
@ramadiansyah7810,2025-09-26T13:30:43Z,Yang basic kayak poco F3 yg pro jg kayak poco yg lain.. Akhirnya apple akan Poco pada waktu nya,Umum,Netral
@devbagin,2025-09-26T12:53:19Z,"Kayaknya setting di iphone kudu diganti deh, bukan mode efficient",Umum,Netral
@RamyGufron,2025-09-26T12:01:19Z,Membosankan ini brand,Umum,Netral
@sheshhwdym,2025-09-26T11:56:35Z,Langsung saja review saingannya bang Xiaomi 17 promax,Umum,Netral
@edwardimmanuelymandacan7302,2025-09-26T11:09:09Z,itu menit ke 16 cara pengambilan videonya bagaimana ?,Kamera,Netral
@Ryanous-yw1wj,2025-09-26T10:37:08Z,Kyknya bnyk yg ngadu zoom nya padahal iphone 16 pro max punya optical zoom 5x lebih jauh dripada 4x di 17 Pro. Cuman di 17 pro sensor kameranya lebih gede jdi urusan low light dan tangkapan dynamic range lebih bagus jdi bisa menangkap lebih mendekati mata walau masih jauh sekali ya tpi dengan ukuran sensor yg lebih besar grimis pas foto malam pasti lebih berkurang. Tpi ya kalau di test 8x zoom menang 16 pro max lah pasti optical 5x dicrop ke 8x diadu ama 4x dicrop sampai 8x kan jauh tu,Kamera,Negatif
@titotetrasuta8989,2025-09-26T10:25:11Z,dibanding Xiaomi 17pro gimana,Umum,Netral
@aguscahndeso1337,2025-09-26T09:35:55Z,"Rumah ijo miskin ,, rumahku jg ijo nya persis  yg lu tunjukin bang, 😢sedih gua dengernya dikatain miskin walau memang bneran miskin.",Baterai,Netral
@wanwan-u4u,2025-09-26T09:23:57Z,Cuma bisa liat aja 😅,Umum,Netral
@rexsss18,2025-09-26T09:23:08Z,Primitif banget iPhone dibanding brand lain,Umum,Netral
@elvinachanel1375,2025-09-26T09:15:10Z,Riview xiaomi 17 pro bang,Umum,Netral
@M.Zaidandi,2025-09-26T08:49:11Z,Pas pake case 17 pronya kaya Sony A7 bg😅,Baterai,Netral
@someonee1-q1r,2025-09-26T07:23:56Z,bg david revwiew xioami 15tpro😂,Umum,Netral
@Yusuf123-r1o,2025-09-26T07:18:22Z,"masya allah,smoga sukses selalu ya bg sampai 100 JUta subscribers ya bg",Umum,Netral
@lauraenggoh9586,2025-09-26T06:06:39Z,Team yg suka nonton tapi ga beli hp yg direview wkwkkw,Umum,Netral
@kevinalfiyansyah1920,2025-09-26T06:06:22Z,Lanjut misteri box dari 1000 sampai 15 juta bang,Umum,Netral
@DiantiFarhana,2025-09-26T06:00:58Z,"Seperti tipe2 apple sebelumnya. Kalo designnya baru isinya bobrok. Kalo designnya finalized itu2 aja sampe tahun ke3, speknya yg terbaik. Jujur design apple kan significant sejak iphone 11 muncul. Tapi 11 pro waktu itu super panas, batre boros dll. Dan design teteap hampir sama mirip2 sampe Iphone 16 kmrn. Ya 16 udah maxx bagus. Dan muncul lah si Iphone 17 ini. Trial error lg dong, buat design baru isinya ya diperbaiki, tp pendapat aku pribadi liat dari kamera barusan brrt failed. Hihiw",Kamera,Negatif
@alex.s_channel,2025-09-26T05:38:48Z,mirip bata 😂😂😂,Umum,Netral
@radianningsih6179,2025-09-26T05:36:24Z,Percayalah tahun depan iPhone 18 pasti rilis,Umum,Netral
@bulldroid5625,2025-09-26T05:36:03Z,Tetap iphone 13 paling bagus,Umum,Positif
@adista__,2025-09-26T04:41:19Z,Xiaomi 17 penantang😅,Umum,Netral
@aizachan-g8g,2025-09-26T04:32:55Z,Wtf kek Poco F3 & M3 😂,Umum,Netral
@NVGSxAngotter,2025-09-26T03:36:31Z,Semoga ada perubahan tampilan dan penambahan fitur pada imessage di iphone,Umum,Netral
@julianstevenwijaya99,2025-09-26T02:59:32Z,iPhone 17 Pro bagus banget,Umum,Positif
@Nurul-lb5ml,2025-09-26T02:51:29Z,17pro lebih baik kameranya karena terlihat lebih real.,Kamera,Netral
@sahmullohhaqulizzah7033,2025-09-26T02:42:06Z,Gua tertarik sama yg 17 base ini dibanding yg air atau seri pro 😅,Umum,Netral
@dwiaji7168,2025-09-26T02:36:44Z,"Tim suka nntn iphone tp mls beli,karena suka android aja, bukannya ngga punya duit",Umum,Positif
@dwiaji7168,2025-09-26T02:09:26Z,Ngeri emg hidup diindo pajaknya,Umum,Netral
@HalloHaydr,2025-09-26T01:18:50Z,"gimmick Apple soal UX emg ga ada lawan sih, bikin ""wow"" aja gitu... wkwkkw",Umum,Netral
@FaisalKarim-s9y,2025-09-26T01:06:42Z,"LAH IYA JUGA YA, DESAIN TOM AND JERRY, BARU NGEH",Desain,Netral
@faisalhnf,2025-09-25T23:51:55Z,"Kalau ambil foto jarak dekat pakai zoom 4x+ (17 Pro) atau 5x+ (16 Pro) bakal pakai crop Main camera bang, bukan Telephotonya karena jaraknya terlalu dekat dan diluar range focus telephotonya. Kalau di 16 Pro saya kira-kira minimal 4 meteran baru kepake Telephotonya, kalau 17 Pro kurang tau tapi harusnya bisa sedikit kurang dari itu karena focal lengthnya lebih rendah.",Kamera,Netral
@SariL-ty5gc,2025-09-25T22:42:19Z,"iPhone adalah jenis produk yang ga perlu diperhatiin bgt reviewnya sebenernya. Lu punya duit, beli, udah pake aja udah enak banget. Tapi hal baru apa yang dibawa itu emang menarik buat jadi bahasan kalo pengen selalu update soal smartphone. Cocok sih nonton gini sambil nemenin makan",Umum,Netral
@abdulmubdi2457,2025-09-25T21:46:03Z,Pajaknya masuk kmna? Dana MBG?,Umum,Netral
@hansyogaw.9270,2025-09-25T20:04:31Z,"Kak, mending 17pm atau s25 ultra?",Umum,Netral
@anchorboy57,2025-09-25T19:06:52Z,"Sayangnya 17 udah ga pake titanium,malah downgrade ga sih",Umum,Netral
@nurhafidaturrafiah9386,2025-09-25T19:05:14Z,Jdi lebih baik beli iphone 16 pro max atau upgrade 17 pro max ?? Jdi bingung,Umum,Netral
@faqihmirza666,2025-09-25T16:50:31Z,"Belum genap 12 bulan channel ini beli iPhone 16 di Singapur kalo gak salah, eh udah ada yg 17 lagi, salut sih. 
Tapi sebentar lagi rilis yang seri 18, tapi saya penasaran yang seri 19, dan pengen beli seri 20 aja sebentar lagi.",Performa,Netral
@ryarya9,2025-09-25T16:27:38Z,"kalo 60hz nya iphone aja setara 120hz android, ini 120hz nya iphone setara sama yang mana lagi😮😢😂",Performa,Netral
@r.katalis,2025-09-25T16:21:51Z,26:14 kode voucher nya apa? Mau co nih,Umum,Netral
@rkecilofficial,2025-09-25T16:21:39Z,Nunggu review comparenya Xiaomi 17 pro max. 🔥🔥🔥,Umum,Netral
@r.katalis,2025-09-25T16:12:09Z,"17:32 kalo iPhone/flagship pasti curiganya salah makenya, beda cerita sama hp 2 jutaan 😂😂😂, ya Allah semoga aku sukses dan bisa beli hp ini dengan mudah",Performa,Netral
@andrezkumakiciharada2778,2025-09-25T15:38:32Z,"IP 17 series yang keluar, Tapi Kok Hotel yang mulai ramai yaa...??? 🤔🫢🤭",Umum,Netral
@arikagasta7421,2025-09-25T15:19:54Z,Siapa yg nonton pke Redmi Note 10 Pro ? 😅😂,Umum,Netral
@romiputra1695,2025-09-25T15:16:48Z,tetap samsung s26 ultra pemenang nya tunggu aja nnti😊,Umum,Netral
@rnhemk_mj,2025-09-25T15:16:45Z,"ahhh mendang mending... nyimak aja
akhirnya xiaomi versi ipon. dihadirkan..",Umum,Netral
@leohendra3669,2025-09-25T15:04:38Z,"Kurangnya apple cuma bikin hp 1 series paling juga nambah embel"" pro/pro max
Gak kayak brand lain yang ada series m,y,v,s dll
Makanya modelny gitu"" doang lama"" terkesan biasa aja",Umum,Netral
@kireimoya5632,2025-09-25T14:54:17Z,"Aku tim suka orange.. apa aja yg orange mau aku beli,  bismillah kebeli orange yg ini",Umum,Positif
@fentinabila4368,2025-09-25T14:46:33Z,Secara model lebih bagus iphone 17 biasa sih,Umum,Negatif
@arypurwanto9188,2025-09-25T14:45:34Z,Di jual lagi ga bang??,Performa,Netral
@Andykoldhert,2025-09-25T14:21:18Z,"blm ada 2 bulan minang iphone 16, liat spec iphone 17 base model jadi nyesel dikit ngambil iphone 16 kmrin🥲🥲",Umum,Netral
@hansdaren803,2025-09-25T14:18:35Z,Kurang puas.. 😂 30jt dan pajak 9jt 😂,Umum,Positif
@ivanpaker,2025-09-25T14:09:44Z,"22:01 seperti tom & jerry, klo di PR sperti Goku 😅",Umum,Netral
@SatriaMahardhika93,2025-09-25T14:09:33Z,Lah bang david aja ampe bingun saat di compare sama iphone 16 pro 🤣,Umum,Netral
@Ardi-beas,2025-09-25T14:00:11Z,Whenn yahhh..... 🗿,Umum,Netral
@mixvidzone,2025-09-25T13:58:53Z,ini 17 pro emang pake nightmode kah? kaya kuning,Umum,Netral
@ginsgraph,2025-09-25T13:45:54Z,"bang, review xiaomi pad mini",Umum,Netral
@ahmadridho313,2025-09-25T13:44:03Z,"Pasti gak laku 17pro ini,,",Umum,Netral
@ahmadridho313,2025-09-25T13:40:06Z,Kelihatan murah padahal mahal kan,Baterai,Negatif
@egysurahman8567,2025-09-25T13:31:59Z,Poco m3 ku masih tersenyum kok,Umum,Netral
@2Stroke_Lovetarian,2025-09-25T13:07:48Z,user iPhone 16 pro nyimak,Umum,Netral
@hamkaal-nk9bo,2025-09-25T12:57:43Z,"Bang kalo tt ama oppo a5s hp ces tp ga ori, kira"" namba berapa yak😢",Umum,Netral
@muhammadabdullatip539,2025-09-25T12:36:01Z,Saya penasaran Coba lihat produk yg ini INOI A75 Elegance 512 gb apakah benar dan produk baru dari eropa Review dong😊,Umum,Netral
@Reza-p9t9d,2025-09-25T12:32:41Z,"Dulu paling inovatif, sekarang stuck 😂",Umum,Netral
@nhanezneciz06,2025-09-25T12:29:03Z,Semua tergantung selera dan UANG,Umum,Netral
@googlegoogleservis864,2025-09-25T12:25:23Z,Time yang gak pernah pakai iPhone 😊,Umum,Netral
@IfulAndikaPutra,2025-09-25T12:09:04Z,Masih stay di ip 13 basic,Umum,Netral
@fightergaming3856,2025-09-25T12:02:44Z,kak david coba bahas updet 26 beta donf kak ktnya bnyak bug dan cepet panas ho nya🙏,Performa,Negatif
@FerbyArisaka,2025-09-25T12:01:47Z,Liat iphone 17 minder gue masih pake 13 pro max ... Gpp yang penting dulu belinya lunas kaga cicilan 😅,Umum,Netral
@WaWan-wb1pb,2025-09-25T12:00:20Z,Pelan2 akan jadi nokia jilid 2 😂,Umum,Netral
@fajar_Editz856,2025-09-25T11:51:07Z,Apple tobat fitur yang baru tapi apple masih belum tobat di aksesoris box hp nya,Umum,Netral
@CleonBuntaran,2025-09-25T11:42:16Z,bagi hp bang wkwkkw,Umum,Netral
@KelasTimoty,2025-09-25T11:29:02Z,Nonton tapi ga beli,Umum,Netral
@dahmidotcom,2025-09-25T11:13:35Z,"Gopix 5 kayaknya pelopor warna SAGE dan bodynya juga unibody metal + campuran, KLO kata droidlime material KARDUS 😂",Desain,Netral
@figounggul,2025-09-25T11:05:52Z,Tim yang nonton doang nggak beli👉,Umum,Netral
@mahenddm,2025-09-25T10:59:46Z,Jujur masi make realme 3 pro gue,Umum,Netral
@blantikcoffe6151,2025-09-25T10:28:01Z,30:08 expresi kekecewaan kliatan jelas di david 😂😂😂,Umum,Negatif
@firmanjuma,2025-09-25T10:28:00Z,Maaf bang material ip 17 basic masih pake titanium atau alumium?,Umum,Netral
@aufabcde,2025-09-25T10:27:18Z,mending iphone 17 apa iphone 17 pro yaa?? worth it yang mana guys,Harga,Netral
@ojiramakopo7338,2025-09-25T10:02:37Z,"Desain ai...pun..
.😂😂😂13,14,15,16,17 kayak kartu domino...cuma dipindah2 aja...kameranya...mending hp jaman Nokia tahun 2000 an lalu..banyak model dan desainnya beda2

Bentar lagi aiii...pun 20 keluar 😂😂 kameranya berjejer kebawah..6 buah..😂😂",Kamera,Netral
@tacky2273,2025-09-25T09:53:21Z,"iphone bener bener hp gengsi njir, gw pernah jadiin hp utama setelah beberapa hari doang udah gak enak, kayak ada yang kurang gitu, gw udah make android bertahun tahun baru ini bedanya, karena googlenya gak sebanyak diandroid, mau login game google aja gak bisa",Umum,Netral
@khairos09,2025-09-25T09:33:01Z,Sekilas mirip poco x7 pro yg ijo 🤣,Umum,Netral
@mazartstudios3371,2025-09-25T09:15:55Z,wkwkwk bro kecewa pas first time buka box ip 17 pro,Umum,Negatif
@abdulmaruf596,2025-09-25T08:53:45Z,Ka ada hp baru xiaomi 17 pro bakalan saingan IP 17,Umum,Netral
@YockSuwarno,2025-09-25T08:52:36Z,Kalah sama samsung S25 Ultra.,Umum,Netral
@muhamadandy99,2025-09-25T08:49:28Z,Menunggu XIAOMI 17,Umum,Netral
@MurhiAllansadewa-c6r4d,2025-09-25T08:49:21Z,iPhone 17 pro produk gagal total,Umum,Netral
@cowokbaik-baik,2025-09-25T08:48:36Z,01:14  KALAU BENER,Umum,Netral
@EntityAnonymous,2025-09-25T08:12:11Z,Berapa banyak haters SDM low disini?,Umum,Netral
@RifqiehananUkail,2025-09-25T07:55:18Z,Bang bahas Infinix gt 30 yang biasa,Umum,Netral
@sasya-q3l,2025-09-25T07:31:04Z,"harusnya design 17 pro warna gold yang kalem, kek iphone xs. biar kesan ""pro"" nya keliatan 😂",Desain,Netral
@muhghifaridzakizar1543,2025-09-25T06:42:28Z,Nunggu harga hpnya jadi 6 jutaan baru beli😂,Harga,Netral
@aufaAzalia-n3d,2025-09-25T06:34:25Z,REVIEW XIAOMI 17 PRO MAX🤩,Umum,Netral
@Sogiman-k5b,2025-09-25T06:12:57Z,Sy nyimak brani komen ktika David bilang sperti poco 😅. Ikut ngakak 😂.,Umum,Netral
@ndonrendon,2025-09-25T06:12:09Z,Samsung a17 kpn nih,Umum,Netral
@mechakawaii99,2025-09-25T05:13:36Z,pake lipbalm banggg Allahuakbar wkwk,Umum,Netral
@Noris_Joman,2025-09-25T04:51:08Z,kirain kamera nya bisa geser bang,Kamera,Netral
@slazer0905,2025-09-25T04:45:16Z,next yang air nya ya bang,Umum,Netral
@WawaSelvia,2025-09-25T04:38:13Z,Ijo bolu pandan,Umum,Netral
@ArdiaChannel-obv,2025-09-25T04:12:40Z,Bang kalau iphone 17 pro max itu ada ??,Umum,Netral
@HsanBasri,2025-09-25T03:54:34Z,Yg masih nonton pakai xs 🗿>>,Umum,Netral
@mchaelbutarbutar142,2025-09-25T03:35:28Z,Ngerasa kalau Bezel iPhone 17 pro lebih tebal dibanding iPhone 16 pro,Desain,Netral
@viniimanuella3192,2025-09-25T03:26:10Z,koq gue lebih enak ngeliat hasil jepretan kamera iPhone 16 pro daripada iPhone 17 pro yak? lebih jernih dan tajam hasil jepretan kamera iPhone 16 pro 🙄🙄,Kamera,Netral
@viniimanuella3192,2025-09-25T03:15:32Z,feel menggenggam body 17 pro seperti menggenggam body iPhone 6,Umum,Netral
@dinakarisa-u1p,2025-09-25T01:42:15Z,IP 17 pro dari bentuknya ko kaya aga kehilangan ciri khas nya hp IP ya,Umum,Netral
@AaIlyas-k4w,2025-09-25T01:08:40Z,"17promax desain percobaan kl respon pasar bagus bakal di pertahanin kl jelek bakal di ubah, mungkin 18-20 promax bakal di kasih layar kecil di samping kamera belakang itu lebih bagus",Kamera,Negatif
@yudiansyahadis4497,2025-09-25T00:24:17Z,Xiaomi 17 pro bang,Umum,Netral
@Miseland1T,2025-09-25T00:18:19Z,"Pada heboh sama warna, lu kasih case aj udh beres",Baterai,Netral
@AlexBlackOn,2025-09-24T23:55:49Z,iPhone 17 z air belum di review???,Umum,Netral
@nbilmariee,2025-09-24T23:27:41Z,"bg untuk coba fitur landscape ny coba tambahin 3 org dibelakang lagi, kayany kalo berdua gabakal aktif",Performa,Netral
@Sigit25-y5j,2025-09-24T22:50:59Z,Desainya jugu agak kurang wah kyk bukn apel,Desain,Netral
@jhonwickk-f2c,2025-09-24T22:46:59Z,"w penasaran bgt sma sama hp yg d riview ini, abis d review di kemana in ya",Umum,Netral
@yokana8809,2025-09-24T22:21:13Z,"Dari 9jt an klo masuk Indonesia nyampe 30jt?. 


GILA

Pantesan Apple milih invest ke Vietnam, di Indonesia aja baru pajak produknya udah gede banget. Btw Iphone emang mahal, tapi klo lu kerja di luar negeri lu kerja sebulan dua bulan udah kebeli Iphone.",Baterai,Netral
@Quhaku,2025-09-24T22:11:40Z,Kalau mau jujur sih dari segi desain masih bagusan poco wkwk,Desain,Positif
@calonpetrus9723,2025-09-24T21:41:51Z,jangan di beli guys banyak problem sampe masuk berita di amerika hati hati....,Umum,Netral
@Tomixnagato,2025-09-24T20:43:01Z,"Buset batre gede tapi tebel body, Brand lain batre badak body tipis 😹
Btw hasil foto nya kek agak kekuningan gitu kek IP 13 😹",Kamera,Netral
@DRsakti,2025-09-24T19:53:49Z,Iphone terburuk 😂,Umum,Netral
@iqbalsaputra1010,2025-09-24T19:40:31Z,Beuhhh keren bang😮🗿,Umum,Positif
@imamrizza7206,2025-09-24T19:00:59Z,"Jadinya nunggu seri 18 aja.
Awalnya pengen up dari 15 PM.
Kurang sreg sama body alumunium nya dan desain Belakang.
Untuk upgrade sisi daleman mesin ok lah.
Tapi design dan inovasi kayanya perlu kita edo tensei steve jobs.",Desain,Netral
@muhammadzakkyrifqi6047,2025-09-24T18:14:21Z,Nonton pake ip 11😢😂,Umum,Netral
@ardhenardhana5725,2025-09-24T17:48:20Z,nonton pake fold 7 sambil nunggu 17 pro msk indo 😍,Umum,Netral
@autograp22,2025-09-24T16:26:01Z,"Warna sage pertama kali diperkenalkan sama google pixel 5 tahun 2020 seketika langsung lumayan hype, dan anehnya pixel 5 juga yg pertama kali yang bisa wireless charger dengan body unibody aluminium (walaupun ga 100%) . ❤",Desain,Netral
@agungwijayathr1800,2025-09-24T16:01:52Z,Waduh kok sama 16 Pro lebih bagus.     😂,Umum,Negatif
@ibrahimovichasyim2337,2025-09-24T15:11:15Z,Rumor Iphone 18 dong Bang Indra Bassist Ex Peterpan,Umum,Netral
@kangmasfarid7700,2025-09-24T14:43:46Z,Poco x6 sm poco x7🗿,Umum,Netral
@anakayong86,2025-09-24T14:34:13Z,Vivo and poco,Umum,Netral
@feryzalkasande780,2025-09-24T14:23:23Z,Aku pengguna Samsung liat iphone kek biasa aja,Umum,Netral
@Armanz24,2025-09-24T14:14:30Z,"13:17 Xiaomi udh dari dlu. 🤣
Tapi icon pesawat pas flight mode detail kecil yg unik sih. Wkwk",Umum,Netral
@ozzamp4,2025-09-24T13:51:04Z,Bang review infinix GT 30 5G dong,Umum,Netral
@nununugraha9276,2025-09-24T13:44:55Z,Dari tahun 2019an sage udah booming,Umum,Netral
@Zeeyb0y,2025-09-24T13:35:20Z,25:03 the punchline 😂,Umum,Netral
@KafeelRavindra,2025-09-24T13:33:07Z,Terimakasih banyak om @Gadgetin setidaknya tau gmn rasanya megang iPhone meski sebatas nontonin,Umum,Netral
@Joyboyisreal,2025-09-24T13:15:11Z,Sage naruto sama lagi,Performa,Netral
@panjisvlogday,2025-09-24T13:13:33Z,sebenarnya iphone yg terbaik itu dipegang oleh 13 pro max.,Umum,Netral
@AgungRaharjo-ss6hp,2025-09-24T13:02:05Z,saya user samsung cuman nonton aja 🙂,Umum,Netral
@andrisetiawan9753,2025-09-24T12:49:04Z,Orange kaya Nokia 2600 clasic 😅,Umum,Netral
@Sukasukamela,2025-09-24T12:37:09Z,17 promax jadi fotobya kek kuning gtu,Kamera,Netral
@veandraarkanprakoso128,2025-09-24T12:36:05Z,"Lebih ke 16 pro sih...
17 pro malah kelihatan kuning juga😂😂",Umum,Netral
@ppl-j7e4c,2025-09-24T12:17:27Z,"iphone 11 turun di harga brapa ya, nanti udah di 2jt an ap ttp 3jt?",Harga,Netral
@fathurisyraqi3463,2025-09-24T12:15:05Z,Bang editor loo kok mirip iben sama Ibnu jamil,Umum,Netral
@MuhammadArfan-v5i,2025-09-24T12:08:28Z,Dari desain gambar box nya malah kayak mainan 😂,Desain,Netral
@ohbegitu5045,2025-09-24T11:58:05Z,masih stay di 11pro. blm ada poin yg pengen bikin upgrade sampe 17 hmm.,Umum,Netral
@zabotase9147,2025-09-24T11:57:46Z,"dulu gua ngehujat pocco karna desain itu.. begitu dipakai aple ,, ya keren 🙈",Desain,Positif
@Tektravto,2025-09-24T11:37:44Z,Kalau yang landscape harus lebih dr 2 orang bertiga atau berempat baru auto rotate bg,Umum,Netral
@clayworldwide,2025-09-24T11:30:09Z,Poco x6 pro hadir 😂,Umum,Netral
@inspira233,2025-09-24T11:02:39Z,kayak hp 2 jt an yang pro wkwk,Umum,Netral
@romynasmiwibawa7044,2025-09-24T10:55:49Z,Bg bagi hp lu,Umum,Netral
@AganHarry,2025-09-24T10:51:45Z,.Jujur iphone sudah kehabisan inovasi..maaf,Umum,Netral
@korizky4837,2025-09-24T10:51:40Z,paling suka sma iPhone dri dlu tuh cuma di ukurannya aja yg enak bnget ditangan pas. ga kya android jman skrng behh kegedean pisan😂,Umum,Positif
@AsriAsriyah-cb4lo,2025-09-24T10:39:50Z,Setelah dikasih casing malah jd makin kureng si orenn😂,Baterai,Netral
@ajifree9875,2025-09-24T10:27:37Z,"IPhone 17 Pro menang di kontras warna, kalo di banding IPhone 16 Pro. Untuk detail masih menang IPhone 16 Pro.",Desain,Netral
@lolo_gogo,2025-09-24T10:27:18Z,"gan, itu pajaknya total 8.9jt itu 2 hape yg masing2 kena potongan 500$ apa cm 1 aja yg kena potongan 500$? brarti bener ya skrg udah ga ada lagi potongan pph..",Performa,Netral
@-GABISAMAIN-,2025-09-24T10:03:00Z,Bang bahas itel s26 ultra dong,Umum,Netral
@riannata7493,2025-09-24T09:58:30Z,"kaum nonton dongk, beli kagak 😂",Umum,Netral
@agungtheprofessional,2025-09-24T09:56:02Z,"Masih pake iPhone 6S Plus. Masih lancar, bening dan ga ada kendala... Cuma dua kali ganti batere. Mesti upgrade ini 😁",Umum,Netral
@septianrishal,2025-09-24T09:54:54Z,"Seri basic tinggal upgrade sensor ke 1/1.28 kaya seri pro udah sempurna
Layar, baterai, kamera perfect",Kamera,Netral
@AnnasKurniaRamadhan,2025-09-24T09:40:21Z,Masih setia sama redmi 😁,Umum,Netral
@zoid647,2025-09-24T09:28:08Z,Gw masih nunggu iphone pakai 2 SIM dan bisa clone APP umum.,Umum,Netral
@igKhoirul_,2025-09-24T09:17:53Z,bang bikin rekomendasi hp android dong,Umum,Netral
@todaypong,2025-09-24T09:17:45Z,"Gw belum pernah pake iPhone, tapi suka warna oren",Desain,Positif
@Zxy.AF_02,2025-09-24T09:17:24Z,nokia zaman dulu ternyata ada AOD,Umum,Netral
@granedlolioat8317,2025-09-24T09:04:35Z,Ini warna Sage dari character valorant yang namanya Sage,Desain,Netral
@Hiiiomm,2025-09-24T08:48:50Z,bismillah pindah dari samsung ke iphone,Umum,Netral
@KhodijahFebriana,2025-09-24T08:33:07Z,Xiomi 17 pro bang,Umum,Netral
@acidzthy,2025-09-24T08:30:06Z,bang bikin video rekomendasi leptop 4jtan bangg,Kamera,Positif
@manukarbyanus7335,2025-09-24T08:27:35Z,bang xiomi 17 pro udah ada belum?,Umum,Netral
@relationship3726,2025-09-24T08:26:32Z,XIAOMI 17 PRO mirip tapi ada inovasi tambahan,Umum,Netral
@Ree1995,2025-09-24T08:14:30Z,Design terkonyol 😢,Umum,Netral
@putraramadhan6858,2025-09-24T08:10:36Z,Bang coba bandingin sama kamera google pixel 10,Kamera,Netral
@RayapGudang,2025-09-24T08:07:34Z,"Bang David, neks review  Xiaomi 17 pro klo dah rilis vs ipon 17 pro. Kayaknya seru perang teknologi nya",Umum,Netral
@muhammadramadhan4356,2025-09-24T08:05:50Z,TIM yg suka nontn dari ip 6 smpe sekarang tapi mikir 2 kali buat beli,Umum,Positif
@cahyoaroyanto5927,2025-09-24T07:58:14Z,"mas,adanya kehilangan.. sesuatu produk",Umum,Netral
@hanshendrikson1029,2025-09-24T07:54:00Z,Hasil foto 17 pro seperti hasil foto di 13 base model kek ada kuning2 bgtu,Kamera,Netral
@blankers_88,2025-09-24T07:53:42Z,"Nanti kalo udah keluar xiaomi 17, review bang, trus compare sm iphone 17, biar pada lihat perbandingannya",Umum,Netral
@qwertyok-g4i,2025-09-24T07:39:41Z,nonton pake 7+ 😂😢,Umum,Netral
@827woi8,2025-09-24T07:30:31Z,Nunggu poco muncul warna orange 😂😂😂😂😂😂😂😂😂,Desain,Netral
@PANTEKWAANG-lv9lo,2025-09-24T07:16:57Z,Bg minta 1 iphon nya,Umum,Netral
@xraycom-4522,2025-09-24T07:01:30Z,iPhone 17pro terbaru anti gores casing nya,Baterai,Netral
@jomsonparsa2996,2025-09-24T06:56:27Z,"120 Hz tahun 2025 , android sudah jauh bet ios baru mulai, kaya gini emng kalau perusahaan jualan merk, tahun besok udh bingung dia jualan apa ne udh mntok kayanya ne iphone, minim inovasi,",Umum,Netral
@hanafiishariyanto96,2025-09-24T06:51:46Z,gila mahal banget pajak nya,Baterai,Negatif
@hanafiishariyanto96,2025-09-24T06:51:26Z,gila mahal banget,Baterai,Negatif
@jordanelmskuy2986,2025-09-24T06:38:24Z,"user xr tahun ini baru mau upgrade, better ke 15 pro max or 16 base ya?",Umum,Netral
@aessvfg1852,2025-09-24T06:29:19Z,"aku sebagai pengguna iphone 7 ,kenapa di mata ku foto kamera belakang iphone 17 😅grafik nya malah kek sama loh ,atau memang layar hp ku ya ,cuman lebih tajam dan hdr nya lebih luas di iphone 17,semoga bisa upgrade",Kamera,Netral
@TarmiziPrasetya,2025-09-24T06:07:47Z,"13:33 ucap seorang pakar hengpon nih.
Tapi masih ada aja yg suka debat ipon vs andro",Umum,Positif
@KiyotakaAyanokouzi-y3o,2025-09-24T05:57:26Z,"Maaf Bang saya mau tanya🙏🙏,Saya ga sengaja nusuk lobang mic pke sim ejector bahaya ga Bang? Takutnya Ip68-69 ga berfungsi lagi, hp saya Vivo v50.Yg Tau boleh tolong jawab🙏",Performa,Netral
@ilhamae8395,2025-09-24T05:52:09Z,Bang david. COD laptop nya gimana? Jadi gak?? 😂,Umum,Netral
@bettingmania3550,2025-09-24T05:27:11Z,"Pajak gede"" bgt ,, itu kira"" duit nya kemana ya...",Umum,Netral
@riyadicobra123,2025-09-24T05:26:54Z,Bagus iPhone 17 pro max😢,Umum,Positif
@Tecno40pro-m7c,2025-09-24T05:25:57Z,Bang coba review up phone unplugged,Umum,Netral
@SapuanAndika,2025-09-24T05:08:56Z,"iPhone menurut gue yg GK mirip android hanya tipe bes model 15 ke bawah, kalau pri sama promax android juga banyak model begitu",Umum,Netral
@yunidewipurnamasari9996,2025-09-24T05:08:31Z,Bagi pemilik 16 promax merasa bahagia krn 17 pro biasa aja. 🤣,Umum,Netral
@ramelmelbert,2025-09-24T05:06:06Z,xiaomi 17 pro lagi vid,Performa,Netral
@wendyamarta2368,2025-09-24T05:04:15Z,"Beda Versi IOS bisa beda hasil camera bang david, krna yg 16 pro itu tadi masih IOS 18. dan yg 17 pro sudah di 26.0 yg notabene masih banyak bug menurutku (aku pakai di Ip13 ada bug pusat kontrol masih bisa dibuka pada saat layat terkunci, walopun di pengaturan sudah di off'in) itu salah satunya",Umum,Netral
@MalumTheLabrador,2025-09-24T05:02:02Z,*IPhone 16 Pro udh lebih dari cukup*,Umum,Netral
@SapuanAndika,2025-09-24T04:57:48Z,"Jujur saya suka iPhone karna memori nya gede sama camera nya aja sehabis itu B aja karna hp lain kebutuhan nya sama aja dah, yg GK baik bagi saya ini iPhone supaya ngapa coba GK henti"" belum lama udah ngeluarin yg baru Terus, jadinya orang GK bisa lama menikmatin hp nya udah ada yg keluar yg baru lagi",Performa,Positif
